,fighter_1,fighter_2,end_round,end_time,winner,url,date,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
195,Magomed Ankalaev,Marcin Prachnio,1,3:09,Magomed Ankalaev,http://ufcstats.com/fight-details/1687e2cd061b7aec,2018-09-15,1,12,27,12,27,0,0,0,0,0,10,25,1,1,1,1,8,21,2,4,2,2,0,3,22,3,22,0,0,0,0,0,10,25,1,1,1,1,8,21,2,4,2,2,1,12,27,12,27,0,0,0,0,0,1,15,0,3,2,4,3,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"Adam Yandiev ""Boroda""",Jordan Johnson,2,0:42,"Adam Yandiev ""Boroda""",http://ufcstats.com/fight-details/ed72edc2ce0f3c5f,2018-09-15,0,1,11,1,11,0,0,0,0,0,0,8,0,2,1,1,1,9,0,2,0,0,0,32,49,52,76,2,3,1,3,0,0,8,0,2,1,1,1,9,0,2,0,0,0,1,11,1,11,0,0,0,0,0,31,47,1,2,0,0,1,11,2,2,29,36,0,3,6,3,6,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,5,0,0,1,1,2,4,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"Ramazan Emeev ""Gorets""",Stefan Sekulic,3,5:00,"Ramazan Emeev ""Gorets""",http://ufcstats.com/fight-details/67f559403a6ec7cb,2018-09-15,1,15,34,21,41,1,1,1,0,0,13,28,1,5,1,1,6,21,3,6,6,7,0,9,19,11,21,0,1,0,0,0,13,28,1,5,1,1,6,21,3,6,6,7,1,15,34,21,41,1,1,1,0,0,3,12,1,1,5,6,8,18,1,1,0,0,0,6,19,10,23,1,2,0,0,0,5,16,5,5,1,2,6,18,5,5,0,0,0,11,23,12,24,0,0,0,0,0,1,8,1,7,4,4,5,17,1,2,0,0,0,7,20,10,24,0,2,0,0,0,4,20,6,7,0,0,5,19,4,6,1,2,0,10,27,14,31,1,2,0,1,0,2,14,1,1,4,5,6,17,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Merab Dvalishvili,"Terrion Ware ""Flash""",3,5:00,Merab Dvalishvili,http://ufcstats.com/fight-details/6455d9c54d99b851,2018-09-15,0,22,49,67,103,2,4,0,2,0,22,49,0,0,0,0,1,14,2,6,19,29,0,2,7,5,10,0,0,0,0,0,22,49,0,0,0,0,1,14,2,6,19,29,0,22,49,67,103,2,4,0,2,0,1,5,1,2,0,0,1,4,0,0,1,3,0,2,20,8,27,0,0,0,0,0,4,30,1,2,4,6,3,25,3,4,3,9,0,9,38,41,74,2,3,0,0,0,0,16,2,3,0,1,2,20,0,0,0,0,0,4,7,9,14,0,0,0,0,0,25,70,4,6,2,2,2,4,0,0,29,74,0,31,78,97,153,1,1,0,2,0,4,7,0,0,0,0,0,3,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"Tyron Woodley ""The Chosen One""","Darren Till ""The Gorilla""",2,4:19,"Tyron Woodley ""The Chosen One""",http://ufcstats.com/fight-details/b66ac52bfb217761,2018-09-08,0,11,23,16,28,0,4,0,0,0,3,13,5,7,3,3,6,17,5,6,0,0,0,0,3,1,4,0,0,0,0,0,3,13,5,7,3,3,6,17,5,6,0,0,0,11,23,16,28,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,44,54,2,2,0,0,1,2,0,0,45,54,1,46,56,58,69,0,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"Jessica Andrade ""Bate Estaca""",Karolina Kowalkiewicz,1,1:58,"Jessica Andrade ""Bate Estaca""",http://ufcstats.com/fight-details/dbf786f9808c6a08,2018-09-08,1,38,73,39,74,0,0,0,0,0,32,66,4,5,2,2,31,65,7,8,0,0,0,24,56,25,58,0,0,0,0,0,32,66,4,5,2,2,31,65,7,8,0,0,1,38,73,39,74,0,0,0,0,0,15,46,5,6,4,4,18,49,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Zabit Magomedsharipov,"Brandon Davis ""Killer B""",2,3:46,Zabit Magomedsharipov,http://ufcstats.com/fight-details/b2625001e0b89369,2018-09-08,0,21,30,22,31,1,1,0,0,0,15,23,2,2,4,5,20,28,1,2,0,0,0,21,62,22,63,0,0,0,0,0,15,23,2,2,4,5,20,28,1,2,0,0,0,21,30,22,31,1,1,0,0,0,6,34,6,14,9,14,20,61,1,1,0,0,0,6,7,7,8,0,0,0,0,0,11,17,2,2,4,4,5,9,4,5,8,9,0,17,23,25,31,5,6,1,1,0,2,3,1,1,3,3,4,5,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"Jimmie Rivera ""El Terror""","John Dodson ""The Magician""",3,5:00,"Jimmie Rivera ""El Terror""",http://ufcstats.com/fight-details/82342dc6be82778b,2018-09-08,0,23,30,24,31,0,2,0,0,0,9,13,4,6,10,11,23,29,0,1,0,0,0,9,33,9,33,0,1,0,0,0,9,13,4,6,10,11,23,29,0,1,0,0,0,23,30,24,31,0,2,0,0,0,5,27,2,4,2,2,8,31,1,2,0,0,0,10,32,10,32,0,0,0,0,0,7,28,3,6,5,7,15,40,0,1,0,0,0,15,41,15,41,0,1,0,0,0,3,25,6,6,1,1,10,32,0,0,0,0,0,22,52,22,52,0,0,0,0,0,9,38,9,9,6,7,22,52,2,2,0,0,0,24,54,24,54,0,0,0,0,0,13,43,7,7,2,2,16,46,6,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Abdul Razak Alhassan,"Niko Price ""The Hybrid""",1,0:43,Abdul Razak Alhassan,http://ufcstats.com/fight-details/f3bebb48771a414a,2018-09-08,1,15,21,15,21,0,0,0,0,0,11,17,3,3,1,1,14,20,1,1,0,0,0,4,10,4,10,0,1,0,0,0,11,17,3,3,1,1,14,20,1,1,0,0,1,15,21,15,21,0,0,0,0,0,2,6,2,4,0,0,4,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"Carla Esparza ""Cookie Monster""",Tatiana Suarez,3,4:33,"Carla Esparza ""Cookie Monster""",http://ufcstats.com/fight-details/fd61e6146f3b2942,2018-09-08,0,0,1,4,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,34,41,56,65,3,3,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,7,0,0,0,0,0,27,33,6,7,1,1,2,4,2,2,30,35,0,15,17,31,34,4,6,0,4,0,1,2,4,4,0,0,0,1,5,5,0,0,0,5,6,6,7,0,1,0,0,1,9,11,6,6,0,0,2,4,4,4,9,9,0,33,40,49,56,2,2,0,6,0,0,2,1,1,0,0,0,1,1,2,0,0,0,1,3,2,4,0,1,0,0,0,28,33,3,5,2,2,2,3,0,2,31,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"Aljamain Sterling ""Funk Master""","Cody Stamann ""The Spartan""",2,3:42,"Aljamain Sterling ""Funk Master""",http://ufcstats.com/fight-details/e65ffb177a2c7669,2018-09-08,0,12,37,40,66,0,5,1,0,0,8,27,3,7,1,3,10,35,0,0,2,2,0,6,30,13,37,2,2,0,0,0,8,27,3,7,1,3,10,35,0,0,2,2,0,12,37,40,66,0,5,1,0,0,1,23,4,5,1,2,3,26,3,4,0,0,0,6,13,7,14,1,1,0,0,0,15,29,4,6,2,2,3,16,3,4,15,17,0,21,37,23,39,2,4,1,4,0,1,8,2,2,3,3,4,9,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"Geoff Neal ""Handz of Steel""","Frank Camacho ""The Crank""",2,1:23,"Geoff Neal ""Handz of Steel""",http://ufcstats.com/fight-details/6caf9ebf42ddae2e,2018-09-08,1,37,70,40,73,0,0,0,0,0,34,66,3,4,0,0,29,58,1,2,7,10,0,19,39,27,48,0,1,0,0,0,34,66,3,4,0,0,29,58,1,2,7,10,1,37,70,40,73,0,0,0,0,0,7,24,9,12,3,3,18,37,1,2,0,0,0,6,18,6,18,0,1,0,0,0,22,32,0,0,0,0,17,23,5,9,0,0,1,22,32,22,32,0,0,0,0,0,5,16,1,2,0,0,5,15,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"Charles Byrd ""Kid Dynamite""","Darren Stewart ""The Dentist""",2,2:17,"Charles Byrd ""Kid Dynamite""",http://ufcstats.com/fight-details/7658965c2a700b39,2018-09-08,0,23,38,38,54,0,3,0,0,0,20,33,1,2,2,3,14,29,9,9,0,0,0,10,31,13,34,0,0,0,0,0,20,33,1,2,2,3,14,29,9,9,0,0,0,23,38,38,54,0,3,0,0,0,6,27,3,3,1,1,3,22,7,9,0,0,1,14,34,15,35,0,0,0,0,0,12,22,2,2,1,1,11,15,4,10,0,0,0,15,25,21,31,0,0,0,0,0,11,31,3,3,0,0,7,25,7,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"Diego Sanchez ""Nightmare""","Craig White ""The Thundercat""",3,5:00,"Diego Sanchez ""Nightmare""",http://ufcstats.com/fight-details/294a9e9780afa789,2018-09-08,0,13,26,29,48,1,1,0,2,0,9,22,4,4,0,0,1,4,0,0,12,22,0,8,9,15,18,0,0,1,0,0,9,22,4,4,0,0,1,4,0,0,12,22,0,13,26,29,48,1,1,0,2,0,6,7,2,2,0,0,4,4,0,0,4,5,0,7,14,30,40,0,0,0,0,0,9,16,3,3,0,0,0,0,0,0,12,19,0,12,19,18,28,1,2,0,2,0,7,14,0,0,0,0,2,7,1,1,4,6,1,3,19,19,36,0,0,0,0,0,16,27,5,5,0,0,2,4,1,1,18,27,0,21,32,35,48,1,1,0,1,0,3,18,0,1,0,0,2,6,0,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"Jim Miller ""A-10""","Alex White ""The Spartan""",1,1:29,"Jim Miller ""A-10""",http://ufcstats.com/fight-details/e40a5bd62ce710ac,2018-09-08,0,15,24,17,26,1,1,1,2,0,11,19,2,2,2,3,8,15,0,0,7,9,0,5,14,5,14,0,0,0,0,0,11,19,2,2,2,3,8,15,0,0,7,9,0,15,24,17,26,1,1,1,2,0,3,11,2,3,0,0,4,12,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Irene Aldana,"Lucie Pudilova ""Bullet""",3,5:00,Irene Aldana,http://ufcstats.com/fight-details/a65909d4083c2088,2018-09-08,0,27,51,27,51,0,0,0,0,0,18,39,2,4,7,8,25,49,2,2,0,0,0,28,102,28,102,0,0,0,0,0,18,39,2,4,7,8,25,49,2,2,0,0,0,27,51,27,51,0,0,0,0,0,20,90,2,4,6,8,25,98,3,4,0,0,0,27,92,28,95,0,0,0,0,0,21,50,4,8,11,15,34,71,2,2,0,0,0,36,73,38,75,0,1,0,0,0,20,79,4,6,3,7,26,90,1,2,0,0,0,50,135,54,139,0,0,0,0,0,41,75,4,11,11,16,52,96,4,6,0,0,0,56,102,56,102,0,0,0,0,0,41,120,5,10,4,5,48,131,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"Roberto Sanchez ""Littlefury""","Jarred Brooks ""The Monkey God""",3,5:00,"Roberto Sanchez ""Littlefury""",http://ufcstats.com/fight-details/9399c772adc7bcab,2018-09-08,0,14,26,45,63,1,3,0,0,0,8,17,6,8,0,1,3,10,1,4,10,12,0,4,8,14,20,0,0,1,0,0,8,17,6,8,0,1,3,10,1,4,10,12,0,14,26,45,63,1,3,0,0,0,2,6,2,2,0,0,2,6,1,1,1,1,0,8,16,31,42,0,1,0,0,0,1,8,0,1,0,0,0,7,0,0,1,2,0,1,9,34,44,0,1,0,0,0,5,13,1,1,2,2,1,8,3,3,4,5,0,12,18,37,46,2,3,0,1,0,1,5,0,0,0,0,0,4,0,0,1,1,0,1,5,42,55,0,0,0,0,0,8,12,4,4,0,2,1,3,2,2,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"Justin Gaethje ""The Highlight""","James Vick ""The Texecutioner""",1,1:27,"Justin Gaethje ""The Highlight""",http://ufcstats.com/fight-details/d6f6ac29008509db,2018-08-25,1,7,15,7,15,0,0,0,0,0,3,8,2,3,2,4,6,14,0,0,1,1,0,10,20,11,21,0,0,0,0,0,3,8,2,3,2,4,6,14,0,0,1,1,1,7,15,7,15,0,0,0,0,0,3,9,5,8,2,3,10,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"Michael Johnson ""The Menace""","Andre Fili ""Touchy""",3,5:00,"Michael Johnson ""The Menace""",http://ufcstats.com/fight-details/48a9d2a3967d13a4,2018-08-25,0,34,61,34,61,0,0,0,0,0,16,35,10,17,8,9,34,61,0,0,0,0,0,20,69,20,69,0,0,0,0,0,16,35,10,17,8,9,34,61,0,0,0,0,0,34,61,34,61,0,0,0,0,0,15,63,5,6,0,0,20,69,0,0,0,0,0,7,16,9,18,1,1,1,1,0,8,15,7,10,0,0,9,19,0,0,6,6,0,15,25,20,31,0,0,0,0,1,2,11,4,4,1,1,7,16,0,0,0,0,0,10,32,11,33,1,3,0,0,0,7,17,5,9,4,4,15,29,1,1,0,0,0,16,30,16,30,0,3,0,0,0,8,30,2,2,0,0,9,30,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"Cortney Casey ""Cast Iron""","Angela Hill ""Overkill""",3,5:00,"Cortney Casey ""Cast Iron""",http://ufcstats.com/fight-details/f20e742e6b0c0b3b,2018-08-25,0,29,98,29,99,1,1,0,1,0,22,89,2,4,5,5,26,95,1,1,2,2,0,33,65,33,65,1,1,0,0,0,22,89,2,4,5,5,26,95,1,1,2,2,0,29,98,29,99,1,1,0,1,0,16,46,7,8,10,11,29,61,3,3,1,1,0,41,75,43,77,0,0,0,0,0,30,95,9,13,4,5,35,104,8,9,0,0,0,43,113,47,117,0,4,0,0,0,21,52,13,15,7,8,38,72,3,3,0,0,0,47,82,47,82,0,0,0,0,0,28,106,6,11,5,5,39,122,0,0,0,0,0,39,122,41,125,0,1,0,0,0,28,58,14,18,5,6,43,78,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"Jake Ellenberger ""The Juggernaut""","Bryan Barberena ""Bam Bam""",1,2:26,"Jake Ellenberger ""The Juggernaut""",http://ufcstats.com/fight-details/aa91cb7567d6c48a,2018-08-25,0,12,14,12,14,0,0,0,0,0,6,8,2,2,4,4,10,11,2,3,0,0,2,19,35,31,47,0,0,0,0,0,6,8,2,2,4,4,10,11,2,3,0,0,0,12,14,12,14,0,0,0,0,0,17,33,1,1,1,1,7,21,2,2,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"John Moraga ""Chicano""","Deiveson Figueiredo ""Deus da Guerra""",2,3:08,"John Moraga ""Chicano""",http://ufcstats.com/fight-details/7fe1486a2c33bf91,2018-08-25,0,6,12,10,18,0,1,1,0,0,3,9,1,1,2,2,4,9,0,1,2,2,0,12,16,24,30,1,2,1,1,0,3,9,1,1,2,2,4,9,0,1,2,2,0,6,12,10,18,0,1,1,0,0,11,15,1,1,0,0,1,5,0,0,11,11,2,17,23,22,28,1,2,0,1,0,3,8,5,6,0,0,4,10,4,4,0,0,0,8,14,9,15,0,1,0,0,0,9,15,8,8,0,0,5,6,1,2,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"Eryk Anders ""Ya Boi""","Tim Williams ""The South Jersey Strangler""",3,4:42,"Eryk Anders ""Ya Boi""",http://ufcstats.com/fight-details/3b701c0a0525341b,2018-08-25,0,5,12,7,14,0,0,0,0,0,1,8,4,4,0,0,4,11,1,1,0,0,0,16,29,21,34,1,1,0,0,0,1,8,4,4,0,0,4,11,1,1,0,0,0,5,12,7,14,0,0,0,0,0,9,19,3,6,4,4,13,24,1,3,2,2,0,10,38,14,45,1,3,0,0,0,17,46,6,6,0,0,20,45,3,6,0,1,0,23,52,25,54,0,1,0,1,0,8,31,1,5,1,2,8,33,2,5,0,0,0,17,46,17,47,0,1,0,0,0,12,26,2,3,0,0,14,28,0,0,0,1,2,14,29,14,29,0,0,0,0,0,12,39,1,2,4,5,17,44,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"James Krause ""The""",Warlley Alves,2,2:28,"James Krause ""The""",http://ufcstats.com/fight-details/62fecd327391557e,2018-08-25,0,31,65,38,72,0,2,0,0,0,20,48,10,15,1,2,27,58,4,7,0,0,0,16,40,19,44,1,1,0,0,0,20,48,10,15,1,2,27,58,4,7,0,0,0,31,65,38,72,0,2,0,0,0,8,25,6,11,2,4,11,32,5,6,0,2,0,12,24,20,34,0,0,0,0,0,23,35,4,4,1,2,16,27,12,14,0,0,0,28,41,41,54,0,2,0,0,0,12,22,0,2,0,0,7,19,5,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Cory Sandhagen,"Iuri Alcantara ""Marajo""",2,1:01,Cory Sandhagen,http://ufcstats.com/fight-details/3e0090669d51415f,2018-08-25,0,44,79,65,102,0,0,0,2,0,43,78,0,0,1,1,2,2,0,0,42,77,0,9,19,13,24,1,1,2,0,0,43,78,0,0,1,1,2,2,0,0,42,77,0,44,79,65,102,0,0,0,2,0,9,19,0,0,0,0,1,8,1,2,7,9,0,0,5,0,5,0,0,0,0,0,22,34,0,0,0,0,4,6,0,1,18,27,0,22,34,39,57,0,0,0,0,0,0,5,0,0,0,0,0,4,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"Andrew Sanchez ""El Dirte""","Markus Perez ""Maluko""",3,5:00,"Andrew Sanchez ""El Dirte""",http://ufcstats.com/fight-details/5e3779f7c1c39679,2018-08-25,0,8,27,24,49,0,4,0,0,0,4,21,2,2,2,4,6,21,2,6,0,0,0,14,26,18,32,0,0,0,0,0,4,21,2,2,2,4,6,21,2,6,0,0,0,8,27,24,49,0,4,0,0,0,5,14,7,10,2,2,10,21,4,5,0,0,0,17,42,22,47,0,0,0,0,0,17,46,5,8,2,4,20,52,4,6,0,0,0,24,58,41,78,0,0,0,0,0,5,25,11,14,1,3,16,38,1,4,0,0,0,23,54,27,58,0,1,0,0,0,23,52,14,17,4,5,39,71,2,3,0,0,0,41,74,54,88,0,2,0,0,0,12,40,11,14,0,0,15,45,8,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
